company,city,district,industry,size,weekend_type,leave_difficulty,overtime_status,source_type,source_url,last_verified,notes
亚马逊 Amazon,北京,,互联网/电商,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
亚马逊 Amazon,上海,,互联网/电商,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
苹果 Apple,北京,,消费电子,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
苹果 Apple,上海,,消费电子,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
谷歌 Google,北京,,互联网,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
谷歌 Google,上海,,互联网,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
微软 Microsoft,北京,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
微软 Microsoft,上海,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
微软 Microsoft,苏州,,软件,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
IBM,北京,,IT服务,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,GBS 部门除外
IBM,上海,,IT服务,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,GBS 部门除外
英特尔 Intel,北京,,半导体,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
英特尔 Intel,上海,,半导体,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
英特尔 Intel,深圳,,半导体,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
英伟达 NVIDIA,北京,,半导体,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
英伟达 NVIDIA,上海,,半导体,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
AMD,上海,,半导体,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
ARM,上海,,半导体,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
高通 Qualcomm,北京,,半导体,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
高通 Qualcomm,上海,,半导体,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
思科 Cisco,北京,,网络设备,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
思科 Cisco,上海,,网络设备,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
思科 Cisco,杭州,,网络设备,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
思科 Cisco,苏州,,网络设备,大厂,双休,,,官方/媒体公开报道,https://github.com/formulahendry/955.WLB,2025-02,955.WLB 名单收录
